attack_type,attack_vector,system_affected,downtime_hours,records_compromised,detection_delay_minutes,security_level,operational_loss
DDoS,USB,EHR,1,38113,114,High,3866926.9999999995
Phishing,USB,PACS,38,91659,100,Medium,12681745.6
DDoS,Network,EHR,24,29656,239,Medium,6388098.0
DDoS,Network,EHR,7,40503,96,High,4213261.0
Ransomware,Network,PACS,24,27952,127,Medium,6614276.399999999
DDoS,Network,PACS,39,27170,269,Low,7687291.600000001
DDoS,USB,EHR,34,96746,127,Medium,18133948.999999996
Ransomware,Email,Billing,44,96564,171,Low,23970965.0
Ransomware,Network,Billing,9,95239,179,Low,21427068.0
Malware,USB,Billing,9,55562,122,Low,9245055.0
Malware,Email,PACS,1,45405,3,Low,8074299.4
DDoS,Email,Billing,41,96207,258,Low,18445141.999999996
Ransomware,USB,Billing,16,74018,82,Medium,12871021.0
Phishing,Network,PACS,38,13364,86,Low,4154913.0
Malware,Network,EHR,18,16176,101,Medium,3458097.0
Ransomware,Email,EHR,17,4972,97,Medium,2333294.0
Malware,Email,Billing,30,17741,110,Low,4311469.0
DDoS,USB,Billing,38,99911,225,Low,18925727.999999996
Ransomware,Network,EHR,6,25355,231,Medium,6155134.0
DDoS,USB,PACS,23,77192,164,High,7132812.8
Phishing,Network,Billing,30,40153,19,Low,7130918.0
Ransomware,Network,Billing,9,31671,281,Low,7784703.0
DDoS,Email,PACS,29,81850,111,Low,17329443.400000002
Malware,USB,PACS,10,29770,30,Medium,4392193.0
Phishing,USB,Billing,5,6552,89,Low,1286260.0
Phishing,Email,PACS,45,59706,158,Low,12052847.8
Ransomware,Email,PACS,10,44374,124,Medium,8854525.799999999
Ransomware,Email,Billing,10,18223,140,Low,4752864.0
DDoS,USB,Billing,26,23784,300,Low,5655608.0
Phishing,Email,PACS,21,19721,287,High,2000249.2
Malware,USB,EHR,20,55104,195,High,5709842.0
Ransomware,Network,Billing,39,69879,189,High,7820783.499999999
Ransomware,USB,Billing,38,13122,156,Low,5484145.0
DDoS,USB,EHR,22,32722,239,Medium,6834966.0
Phishing,USB,EHR,15,28911,186,Low,6592210.0
Malware,Email,EHR,21,58020,276,Medium,10308263.0
Malware,USB,EHR,8,24411,75,High,2494893.0
Ransomware,Network,EHR,10,92497,252,Low,27895927.0
