attack_type,attack_vector,system_affected,downtime_hours,records_compromised,detection_delay_minutes,security_level,operational_loss
Malware,Network,PACS,3,5325,115,Low,3262500
Ransomware,USB,EHR,10,872,23,Low,2436000
Phishing,USB,EHR,10,9138,54,Medium,6569000
Malware,USB,PACS,10,28353,67,Low,16176500
DDoS,Network,Billing,5,21673,48,Medium,11836500
DDoS,USB,Billing,12,19695,15,High,12247500
DDoS,Email,EHR,11,26377,23,High,15388500
Malware,USB,Billing,1,6054,57,High,3227000
Ransomware,Network,PACS,11,11373,53,Low,7886500
Ransomware,Network,EHR,4,16179,69,Low,8889500
Ransomware,Email,PACS,9,18783,28,Medium,11191500
DDoS,Network,PACS,12,24144,31,Medium,14472000
Malware,Email,EHR,6,3490,97,Medium,2945000
Malware,Email,Billing,10,8936,27,High,6468000
DDoS,Network,Billing,12,8639,74,High,6719500
Malware,Email,PACS,2,18476,110,Low,9638000
Phishing,Email,PACS,6,28449,102,Low,15424500
Ransomware,Network,Billing,2,29701,82,Medium,15250500
Ransomware,Network,EHR,3,4520,35,Low,2860000
Ransomware,USB,PACS,7,5848,110,Medium,4324000
Ransomware,USB,PACS,2,26038,48,Medium,13419000
Ransomware,USB,EHR,10,22266,29,Medium,13133000
Ransomware,USB,EHR,7,17192,57,Low,9996000
DDoS,Email,EHR,10,29649,97,High,16824500
DDoS,Email,PACS,2,1478,113,High,1139000
Ransomware,Email,PACS,12,4579,108,Medium,4689500
Malware,Network,Billing,12,16602,110,Medium,10701000
Phishing,Email,EHR,9,10257,26,Medium,6928500
Ransomware,Email,EHR,3,17822,24,High,9511000
Malware,Network,PACS,9,13693,23,Medium,8646500
Ransomware,Network,PACS,6,170,70,High,1285000
Ransomware,USB,Billing,5,10477,27,Medium,6238500
Malware,Network,PACS,6,573,89,Medium,1486500
DDoS,Email,Billing,11,19685,35,Low,12042500
Phishing,USB,Billing,2,1022,40,Low,911000
Malware,USB,Billing,4,7315,14,Medium,4457500
DDoS,USB,PACS,12,19274,51,Medium,12037000
Malware,Network,EHR,7,25687,107,Medium,14243500
Malware,USB,PACS,12,1694,53,High,3247000
Ransomware,Network,PACS,7,20958,76,Low,11879000
Malware,USB,PACS,6,2802,27,High,2601000
Ransomware,Network,Billing,4,6297,56,Medium,3948500
Malware,Network,PACS,11,23038,74,Low,13719000
Malware,Network,Billing,10,27756,53,High,15878000
DDoS,Network,PACS,11,21938,109,Low,13169000
DDoS,Email,PACS,2,25873,93,High,13336500
Phishing,Email,PACS,4,18534,65,Low,10067000
Ransomware,Email,Billing,2,8392,96,High,4596000
Malware,Network,EHR,1,29828,14,High,15114000
Phishing,Network,PACS,11,19264,71,High,11832000
Ransomware,Network,EHR,9,24780,20,Low,14190000
DDoS,USB,Billing,12,14127,46,High,9463500
Phishing,Email,EHR,10,29055,48,Low,16527500
DDoS,Email,PACS,6,16098,77,High,9249000
Malware,Email,EHR,3,26215,41,High,13707500
Malware,Network,EHR,7,1268,42,High,2034000
Ransomware,USB,PACS,9,18166,44,Low,10883000
Phishing,Network,Billing,5,15314,73,Medium,8657000
Ransomware,Email,PACS,3,8244,87,Medium,4722000
Malware,Network,PACS,10,15201,68,High,9600500
DDoS,Email,EHR,9,5184,60,Medium,4392000
Malware,USB,Billing,10,4615,106,Medium,4307500
DDoS,USB,PACS,1,20482,42,High,10441000
Ransomware,Email,EHR,1,12583,71,Medium,6491500
Phishing,Email,EHR,9,17526,113,High,10563000
DDoS,USB,EHR,11,6061,20,High,5230500
Malware,USB,PACS,2,3115,19,Medium,1957500
Ransomware,Network,EHR,9,3516,91,Low,3558000
Phishing,USB,EHR,7,1389,14,Medium,2094500
Malware,Network,EHR,3,14098,76,High,7649000
DDoS,Network,PACS,7,22143,92,Low,12471500
Ransomware,USB,Billing,10,3824,96,Low,3912000
Malware,Network,Billing,10,27799,115,Low,15899500
DDoS,USB,PACS,12,9373,71,High,7086500
Phishing,Network,EHR,1,12772,21,Medium,6586000
Malware,USB,EHR,10,10028,56,Low,7014000
Malware,USB,PACS,6,23401,82,Low,12900500
Malware,Email,EHR,7,27100,75,Low,14950000
Ransomware,Email,EHR,9,18453,68,High,11026500
Malware,Email,Billing,12,19435,105,High,12117500
Phishing,Network,EHR,12,16056,75,Medium,10428000
Malware,Network,Billing,10,17502,89,Medium,10751000
Ransomware,Network,PACS,12,9549,89,Low,7174500
Malware,USB,EHR,8,12477,65,Low,7838500
Ransomware,Network,Billing,2,6574,46,High,3687000
DDoS,Email,Billing,4,14323,103,Medium,7961500
Malware,Email,PACS,10,10990,96,Medium,7495000
Malware,Email,Billing,3,9242,10,High,5221000
DDoS,Network,PACS,11,18315,62,Low,11357500
Malware,Network,Billing,2,15303,31,High,8051500
Ransomware,Network,PACS,1,26237,80,Medium,13318500
Ransomware,Email,Billing,10,9043,24,High,6521500
Ransomware,Email,EHR,2,10808,55,Medium,5804000
Malware,Email,PACS,5,18662,23,Medium,10331000
DDoS,Network,PACS,3,5008,105,Low,3104000
Phishing,Network,PACS,3,7047,33,Medium,4123500
Phishing,Network,EHR,6,1482,98,Medium,1941000
Malware,Network,EHR,10,7450,46,Low,5725000
DDoS,USB,Billing,7,3527,25,Medium,3163500
DDoS,Network,EHR,10,12996,48,High,8498000
